"Category"	"Uniquely mapped"	"Mapped to multiple loci"	"Mapped to too many loci"	"Unmapped: too short"	"Unmapped: other"
"R21113867-shangji-G10_combined_R_align"	11401886	819017	40178	255157	569195
"R21113867-shangji-G11_combined_R_align"	13647309	888108	40616	352532	481845
"R21113867-shangji-G12_combined_R_align"	13506732	902710	49159	385599	688793
"R21113867-shangji-G13_combined_R_align"	15863031	810111	33861	393431	68722
"R21113867-shangji-G14_combined_R_align"	12720674	654119	28133	284917	112031
"R21113867-shangji-G15_combined_R_align"	13598683	698201	32611	318154	83957
"R21113867-shangji-G16_combined_R_align"	12308262	634145	27165	301095	71943
"R21113867-shangji-G1_combined_R_align"	9725403	993460	43170	307789	628452
"R21113867-shangji-G2_combined_R_align"	10514187	1052102	55295	374358	823076
"R21113867-shangji-G3_combined_R_align"	11545829	1232095	61395	362675	802366
"R21113867-shangji-G4_combined_R_align"	10730951	1073705	59333	398414	940626
"R21113867-shangji-G5_combined_R_align"	13705511	1116221	37895	387908	102726
"R21113867-shangji-G6_combined_R_align"	14172361	1118945	48892	395176	254385
"R21113867-shangji-G7_combined_R_align"	11358561	881817	36071	320397	104256
"R21113867-shangji-G8_combined_R_align"	11518261	914860	34175	367572	108719
"R21113867-shangji-G9_combined_R_align"	11853666	752720	34540	364743	403631
